Metric,SPY,Strategy
Risk-Free Rate,5.24%,5.24%
Time in Market,69.0%,52.0%
,,
Total Return,31%,153%
CAGR% (Annual Return),9.5%,36.42%
,,
Sharpe,0.32,0.76
RoMaD,0.39,0.9
Corr to Benchmark,1.0,0.08
Prob. Sharpe Ratio,25.01%,40.52%
Smart Sharpe,0.31,0.74
Sortino,0.45,1.12
Smart Sortino,0.44,1.1
Sortino/√2,0.32,0.79
Smart Sortino/√2,0.31,0.77
Omega,1.16,1.16
,,
Max Drawdown,-24.49%,-40.52%
Longest DD Days,708,366
Volatility (ann.),17.29%,50.98%
R^2,0.01,0.01
Information Ratio,0.03,0.03
Calmar,0.39,0.9
Skew,-0.11,0.15
Kurtosis,3.99,5.33
,,
Expected Daily%,0.02%,0.09%
Expected Monthly%,0.76%,2.62%
Expected Yearly%,7.03%,26.17%
Daily Value-at-Risk,-1.46%,-4.27%
Expected Shortfall (cVaR),-1.46%,-4.27%
,,
MTD,5.06%,6.87%
3M,4.5%,4.03%
6M,16.85%,26.84%
YTD,11.93%,15.76%
1Y,27.36%,44.55%
3Y (ann.),8.98%,28.32%
5Y (ann.),9.5%,36.42%
10Y (ann.),9.5%,36.42%
All-time (ann.),9.5%,36.42%
,,
Best Day,5.5%,13.67%
Worst Day,-4.35%,-14.12%
Best Month,9.13%,27.16%
Worst Month,-9.24%,-24.41%
Best Year,26.03%,97.55%
Worst Year,-18.51%,-8.21%
,,
Avg. Drawdown,-1.85%,-9.83%
Avg. Drawdown Days,26,42
Recovery Factor,1.29,3.26
Ulcer Index,0.1,0.17
Serenity Index,0.12,0.64
,,
Avg. Up Month,4.43%,12.14%
Avg. Down Month,-3.9%,-9.76%
Win Days,573.19,592.66
Loss Days,520.81,501.34
Win Days%,52.39%,54.17%
Win Month%,58.33%,65.71%
Win Quarter%,69.23%,61.54%
Win Year%,75.0%,75.0%
,,
Beta,-,0.24
Alpha,-,0.41
Correlation,-,8.2%
Treynor Ratio,-,613.09%
