Metric,SPY,Strategy
Risk-Free Rate,5.24%,5.24%
Time in Market,69.0%,30.0%
,,
Total Return,31%,184%
CAGR% (Annual Return),9.54%,41.62%
,,
Sharpe,0.32,1.18
RoMaD,0.39,2.21
Corr to Benchmark,1.0,0.14
Prob. Sharpe Ratio,25.1%,72.76%
Smart Sharpe,0.32,1.18
Sortino,0.45,1.74
Smart Sortino,0.45,1.74
Sortino/√2,0.32,1.23
Smart Sortino/√2,0.32,1.23
Omega,1.34,1.34
,,
Max Drawdown,-24.49%,-18.82%
Longest DD Days,708,518
Volatility (ann.),17.27%,28.67%
R^2,0.02,0.02
Information Ratio,0.05,0.05
Calmar,0.39,2.21
Skew,-0.11,-0.23
Kurtosis,4.01,11.48
,,
Expected Daily%,0.02%,0.1%
Expected Monthly%,0.74%,2.86%
Expected Yearly%,7.07%,29.82%
Daily Value-at-Risk,-1.46%,-2.36%
Expected Shortfall (cVaR),-1.46%,-2.36%
,,
MTD,0.0%,0.0%
3M,4.12%,-4.84%
6M,16.39%,24.37%
YTD,11.93%,11.65%
1Y,28.07%,57.63%
3Y (ann.),8.95%,35.74%
5Y (ann.),9.54%,41.62%
10Y (ann.),9.54%,41.62%
All-time (ann.),9.54%,41.62%
,,
Best Day,5.5%,10.67%
Worst Day,-4.35%,-10.88%
Best Month,9.13%,27.16%
Worst Month,-9.24%,-13.61%
Best Year,25.5%,89.25%
Worst Year,-18.16%,-8.82%
,,
Avg. Drawdown,-1.81%,-6.3%
Avg. Drawdown Days,26,38
Recovery Factor,1.3,6.21
Ulcer Index,0.1,0.11
Serenity Index,0.12,0.79
,,
Avg. Up Month,4.16%,11.1%
Avg. Down Month,-3.62%,-6.07%
Win Days,574.93,640.48
Loss Days,521.07,455.52
Win Days%,52.46%,58.44%
Win Month%,61.11%,62.5%
Win Quarter%,69.23%,63.64%
Win Year%,75.0%,75.0%
,,
Beta,-,0.23
Alpha,-,0.36
Correlation,-,13.83%
Treynor Ratio,-,778.79%
