time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2021-06-01 09:30:00-04:00,MultiMAC,b08d0df423514da0ac59b42b7c333ac4,TQQQ,buy,market,new,1,gtc,0.0,1,stock,,,
2021-06-01 09:30:00-04:00,MultiMAC,b08d0df423514da0ac59b42b7c333ac4,TQQQ,buy,market,fill,1,gtc,0.0,1,stock,51.92499923706055,1925.0,0.0
2021-06-02 09:30:00-04:00,MultiMAC,ea336ee135114af0acec1599b04b32fd,TQQQ,sell,market,new,1,gtc,0.0,1,stock,,,
2021-06-02 09:30:00-04:00,MultiMAC,ea336ee135114af0acec1599b04b32fd,TQQQ,sell,market,fill,1,gtc,0.0,1,stock,50.974998474121094,1925.0,0.0
2021-06-04 09:30:00-04:00,MultiMAC,9eb3e03448b74ce2847575ab504602b0,TQQQ,buy,market,new,1,gtc,0.0,1,stock,,,
2021-06-04 09:30:00-04:00,MultiMAC,9eb3e03448b74ce2847575ab504602b0,TQQQ,buy,market,fill,1,gtc,0.0,1,stock,50.314998626708984,1951.0,0.0
2021-06-07 09:30:00-04:00,MultiMAC,9b346ddc06be4a029ffa2a7666b9c126,TQQQ,sell,market,new,1,gtc,0.0,1,stock,,,
2021-06-07 09:30:00-04:00,MultiMAC,9b346ddc06be4a029ffa2a7666b9c126,TQQQ,sell,market,fill,1,gtc,0.0,1,stock,51.71500015258789,1951.0,0.0
2021-06-08 09:30:00-04:00,MultiMAC,0ab7614ddc9444d395ecf33426d120e3,TQQQ,buy,market,new,1,gtc,0.0,1,stock,,,
2021-06-08 09:30:00-04:00,MultiMAC,0ab7614ddc9444d395ecf33426d120e3,TQQQ,buy,market,fill,1,gtc,0.0,1,stock,53.290000915527344,1893.0,0.0
2021-08-19 09:30:00-04:00,MultiMAC,89ef92ae5c0d423eac89501df519ea50,TQQQ,sell,market,new,1,gtc,0.0,1,stock,,,
2021-08-19 09:30:00-04:00,MultiMAC,89ef92ae5c0d423eac89501df519ea50,TQQQ,sell,market,fill,1,gtc,0.0,1,stock,63.869998931884766,1893.0,0.0
2021-08-20 09:30:00-04:00,MultiMAC,b60795a8f8d84d84af75776337d1a161,TQQQ,buy,market,new,1,gtc,0.0,1,stock,,,
2021-08-20 09:30:00-04:00,MultiMAC,b60795a8f8d84d84af75776337d1a161,TQQQ,buy,market,fill,1,gtc,0.0,1,stock,66.4749984741211,1819.0,0.0
2021-08-23 09:30:00-04:00,MultiMAC,9db5fdacfec849ccb2e436f022d6b4ec,TQQQ,sell,market,new,1,gtc,0.0,1,stock,,,
2021-08-23 09:30:00-04:00,MultiMAC,9db5fdacfec849ccb2e436f022d6b4ec,TQQQ,sell,market,fill,1,gtc,0.0,1,stock,68.51499938964844,1819.0,0.0
2021-08-24 09:30:00-04:00,MultiMAC,3bb305f24b5244988c7ed7844d659e4a,TQQQ,buy,market,new,1,gtc,0.0,1,stock,,,
2021-08-24 09:30:00-04:00,MultiMAC,3bb305f24b5244988c7ed7844d659e4a,TQQQ,buy,market,fill,1,gtc,0.0,1,stock,71.30500030517578,1748.0,0.0
2021-09-20 09:30:00-04:00,MultiMAC,e73685825a1d4f34b1178ed15f9632b0,TQQQ,sell,market,new,1,gtc,0.0,1,stock,,,
2021-09-20 09:30:00-04:00,MultiMAC,e73685825a1d4f34b1178ed15f9632b0,TQQQ,sell,market,fill,1,gtc,0.0,1,stock,67.70999908447266,1748.0,0.0
2021-09-21 09:30:00-04:00,MultiMAC,969800c3f0e6495e8ff245c48e83c48d,TQQQ,buy,market,new,1,gtc,0.0,1,stock,,,
2021-09-21 09:30:00-04:00,MultiMAC,969800c3f0e6495e8ff245c48e83c48d,TQQQ,buy,market,fill,1,gtc,0.0,1,stock,67.69000244140625,1748.0,0.0
2021-09-22 09:30:00-04:00,MultiMAC,3835f2de34c0409884a50e3d178b9e65,TQQQ,sell,market,new,1,gtc,0.0,1,stock,,,
2021-09-22 09:30:00-04:00,MultiMAC,3835f2de34c0409884a50e3d178b9e65,TQQQ,sell,market,fill,1,gtc,0.0,1,stock,67.43000030517578,1748.0,0.0
2021-09-23 09:30:00-04:00,MultiMAC,0ab04ee313514ef59211d41f32987e0a,TQQQ,buy,market,new,1,gtc,0.0,1,stock,,,
2021-09-23 09:30:00-04:00,MultiMAC,0ab04ee313514ef59211d41f32987e0a,TQQQ,buy,market,fill,1,gtc,0.0,1,stock,69.45500183105469,1697.0,0.0
2021-09-24 09:30:00-04:00,MultiMAC,d30461a4cb12468eb64a3525a7b3cfd3,TQQQ,sell,market,new,1,gtc,0.0,1,stock,,,
2021-09-24 09:30:00-04:00,MultiMAC,d30461a4cb12468eb64a3525a7b3cfd3,TQQQ,sell,market,fill,1,gtc,0.0,1,stock,69.36000061035156,1697.0,0.0
2021-09-27 09:30:00-04:00,MultiMAC,322a0d11fe06454a9166dbb93508f758,TQQQ,buy,market,new,1,gtc,0.0,1,stock,,,
2021-09-27 09:30:00-04:00,MultiMAC,322a0d11fe06454a9166dbb93508f758,TQQQ,buy,market,fill,1,gtc,0.0,1,stock,69.1050033569336,1703.0,0.0
2021-09-28 09:30:00-04:00,MultiMAC,fa1f971a4a4b48a0b034d771754445b2,TQQQ,sell,market,new,1,gtc,0.0,1,stock,,,
2021-09-28 09:30:00-04:00,MultiMAC,fa1f971a4a4b48a0b034d771754445b2,TQQQ,sell,market,fill,1,gtc,0.0,1,stock,66.56999969482422,1703.0,0.0
2021-10-19 09:30:00-04:00,MultiMAC,0d4a9eea11e545c180f69c16e083120e,TQQQ,buy,market,new,1,gtc,0.0,1,stock,,,
2021-10-19 09:30:00-04:00,MultiMAC,0d4a9eea11e545c180f69c16e083120e,TQQQ,buy,market,fill,1,gtc,0.0,1,stock,70.5199966430664,1608.0,0.0
2021-10-20 09:30:00-04:00,MultiMAC,a8bb857ca2bb4a3594f9245d1bbd5895,TQQQ,sell,market,new,1,gtc,0.0,1,stock,,,
2021-10-20 09:30:00-04:00,MultiMAC,a8bb857ca2bb4a3594f9245d1bbd5895,TQQQ,sell,market,fill,1,gtc,0.0,1,stock,71.74500274658203,1608.0,0.0
2021-10-21 09:30:00-04:00,MultiMAC,6f5946b057fe428c8ef8c494b8ac9f7d,TQQQ,buy,market,new,1,gtc,0.0,1,stock,,,
2021-10-21 09:30:00-04:00,MultiMAC,6f5946b057fe428c8ef8c494b8ac9f7d,TQQQ,buy,market,fill,1,gtc,0.0,1,stock,70.72000122070312,1631.0,0.0
2021-10-22 09:30:00-04:00,MultiMAC,f0c264d8626e4ec3bd676074c27dca78,TQQQ,sell,market,new,1,gtc,0.0,1,stock,,,
2021-10-22 09:30:00-04:00,MultiMAC,f0c264d8626e4ec3bd676074c27dca78,TQQQ,sell,market,fill,1,gtc,0.0,1,stock,71.73500061035156,1631.0,0.0
2021-10-25 09:30:00-04:00,MultiMAC,2165edfa700844adaa1ff75b442f998e,TQQQ,buy,market,new,1,gtc,0.0,1,stock,,,
2021-10-25 09:30:00-04:00,MultiMAC,2165edfa700844adaa1ff75b442f998e,TQQQ,buy,market,fill,1,gtc,0.0,1,stock,71.49500274658203,1637.0,0.0
2021-10-26 09:30:00-04:00,MultiMAC,396b4a12b5ff4353a3b570423424cc70,TQQQ,sell,market,new,1,gtc,0.0,1,stock,,,
2021-10-26 09:30:00-04:00,MultiMAC,396b4a12b5ff4353a3b570423424cc70,TQQQ,sell,market,fill,1,gtc,0.0,1,stock,74.16000366210938,1637.0,0.0
2021-10-27 09:30:00-04:00,MultiMAC,df89050e702548fc946ac85b04bbd519,TQQQ,buy,market,new,1,gtc,0.0,1,stock,,,
2021-10-27 09:30:00-04:00,MultiMAC,df89050e702548fc946ac85b04bbd519,TQQQ,buy,market,fill,1,gtc,0.0,1,stock,73.77999877929688,1645.0,0.0
2021-12-01 09:30:00-05:00,MultiMAC,dd51d9a033ac465c95cbc9953bb0595d,TQQQ,sell,market,new,1,gtc,0.0,1,stock,,,
2021-12-01 09:30:00-05:00,MultiMAC,dd51d9a033ac465c95cbc9953bb0595d,TQQQ,sell,market,fill,1,gtc,0.0,1,stock,84.43000030517578,1645.0,0.0
2021-12-02 09:30:00-05:00,MultiMAC,079d3322b7204d169355b70d51306d6a,TQQQ,buy,market,new,1,gtc,0.0,1,stock,,,
2021-12-02 09:30:00-05:00,MultiMAC,079d3322b7204d169355b70d51306d6a,TQQQ,buy,market,fill,1,gtc,0.0,1,stock,76.70999908447266,1811.0,0.0
2021-12-03 09:30:00-05:00,MultiMAC,d3d93f255ac94cefa484158aa7536cec,TQQQ,sell,market,new,1,gtc,0.0,1,stock,,,
2021-12-03 09:30:00-05:00,MultiMAC,d3d93f255ac94cefa484158aa7536cec,TQQQ,sell,market,fill,1,gtc,0.0,1,stock,80.0,1811.0,0.0
2021-12-06 09:30:00-05:00,MultiMAC,0520ed1370f44f86a797710544d568de,TQQQ,buy,market,new,1,gtc,0.0,1,stock,,,
2021-12-06 09:30:00-05:00,MultiMAC,0520ed1370f44f86a797710544d568de,TQQQ,buy,market,fill,1,gtc,0.0,1,stock,75.29499816894531,1924.0,0.0
2021-12-07 09:30:00-05:00,MultiMAC,8e5d8c4ce484483e857771abc264de4a,TQQQ,sell,market,new,1,gtc,0.0,1,stock,,,
2021-12-07 09:30:00-05:00,MultiMAC,8e5d8c4ce484483e857771abc264de4a,TQQQ,sell,market,fill,1,gtc,0.0,1,stock,80.88500213623047,1924.0,0.0
2021-12-08 09:30:00-05:00,MultiMAC,591238c817144c08863e7040f6fde1fc,TQQQ,buy,market,new,1,gtc,0.0,1,stock,,,
2021-12-08 09:30:00-05:00,MultiMAC,591238c817144c08863e7040f6fde1fc,TQQQ,buy,market,fill,1,gtc,0.0,1,stock,83.94499969482422,1854.0,0.0
2021-12-09 09:30:00-05:00,MultiMAC,fa5ea368fc2a49a6a0b627ca9fbb3cfd,TQQQ,sell,market,new,1,gtc,0.0,1,stock,,,
2021-12-09 09:30:00-05:00,MultiMAC,fa5ea368fc2a49a6a0b627ca9fbb3cfd,TQQQ,sell,market,fill,1,gtc,0.0,1,stock,84.07499694824219,1854.0,0.0
2021-12-10 09:30:00-05:00,MultiMAC,1f09d9ca153e4fc59d4308b25401ec16,TQQQ,buy,market,new,1,gtc,0.0,1,stock,,,
2021-12-10 09:30:00-05:00,MultiMAC,1f09d9ca153e4fc59d4308b25401ec16,TQQQ,buy,market,fill,1,gtc,0.0,1,stock,82.88500213623047,1880.0,0.0
2021-12-13 09:30:00-05:00,MultiMAC,ce0521088d3b46a89aae6a304f917ae0,TQQQ,sell,market,new,1,gtc,0.0,1,stock,,,
2021-12-13 09:30:00-05:00,MultiMAC,ce0521088d3b46a89aae6a304f917ae0,TQQQ,sell,market,fill,1,gtc,0.0,1,stock,83.73500061035156,1880.0,0.0
2021-12-14 09:30:00-05:00,MultiMAC,8949072c2bef4115acab87919ee17096,TQQQ,buy,market,new,1,gtc,0.0,1,stock,,,
2021-12-14 09:30:00-05:00,MultiMAC,8949072c2bef4115acab87919ee17096,TQQQ,buy,market,fill,1,gtc,0.0,1,stock,77.05999755859375,2043.0,0.0
2021-12-15 09:30:00-05:00,MultiMAC,e287f00f5ced43d39e3028edf871e147,TQQQ,sell,market,new,1,gtc,0.0,1,stock,,,
2021-12-15 09:30:00-05:00,MultiMAC,e287f00f5ced43d39e3028edf871e147,TQQQ,sell,market,fill,1,gtc,0.0,1,stock,77.4800033569336,2043.0,0.0
2021-12-16 09:30:00-05:00,MultiMAC,e1bb96e26bc8495b8f7f7076202960f9,TQQQ,buy,market,new,1,gtc,0.0,1,stock,,,
