Metric,SPY,Strategy
Risk-Free Rate,5.24%,5.24%
Time in Market,69.0%,40.0%
,,
Total Return,31%,249%
CAGR% (Annual Return),9.54%,51.63%
,,
Sharpe,0.32,1.02
RoMaD,0.39,1.59
Corr to Benchmark,1.0,-0.04
Prob. Sharpe Ratio,25.1%,59.23%
Smart Sharpe,0.32,1.02
Sortino,0.45,1.57
Smart Sortino,0.45,1.57
Sortino/√2,0.32,1.11
Smart Sortino/√2,0.32,1.11
Omega,1.26,1.26
,,
Max Drawdown,-24.49%,-32.45%
Longest DD Days,708,231
Volatility (ann.),17.27%,45.84%
R^2,0.0,0.0
Information Ratio,0.04,0.04
Calmar,0.39,1.59
Skew,-0.11,0.67
Kurtosis,4.01,9.7
,,
Expected Daily%,0.02%,0.11%
Expected Monthly%,0.74%,3.43%
Expected Yearly%,7.07%,36.64%
Daily Value-at-Risk,-1.46%,-3.8%
Expected Shortfall (cVaR),-1.46%,-3.8%
,,
MTD,0.0%,0.0%
3M,4.12%,-4.74%
6M,16.39%,24.5%
YTD,11.93%,11.76%
1Y,28.07%,44.13%
3Y (ann.),8.95%,45.61%
5Y (ann.),9.54%,51.63%
10Y (ann.),9.54%,51.63%
All-time (ann.),9.54%,51.63%
,,
Best Day,5.5%,18.86%
Worst Day,-4.35%,-10.88%
Best Month,9.13%,31.26%
Worst Month,-9.24%,-26.55%
Best Year,25.5%,66.66%
Worst Year,-18.16%,11.76%
,,
Avg. Drawdown,-1.81%,-10.21%
Avg. Drawdown Days,26,40
Recovery Factor,1.3,4.81
Ulcer Index,0.1,0.15
Serenity Index,0.12,0.84
,,
Avg. Up Month,3.81%,13.74%
Avg. Down Month,-3.62%,-6.08%
Win Days,574.93,621.24
Loss Days,521.07,474.76
Win Days%,52.46%,56.68%
Win Month%,61.11%,63.89%
Win Quarter%,69.23%,69.23%
Win Year%,75.0%,100.0%
,,
Beta,-,-0.1
Alpha,-,0.53
Correlation,-,-3.9%
Treynor Ratio,-,-2350.09%
