time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2022-06-02 09:30:00-04:00,MovingAverageCrossover,b3f4c802183a476ea9e9b4f9fa9447ca,TQQQ,buy,market,new,1,gtc,0.0,1,stock,,,
2022-06-02 09:30:00-04:00,MovingAverageCrossover,b3f4c802183a476ea9e9b4f9fa9447ca,TQQQ,buy,market,fill,1,gtc,0.0,1,stock,31.920000076293945,3132.0,0.0
2022-06-14 09:30:00-04:00,MovingAverageCrossover,16e88e7da950424eacd90e3c2efde544,TQQQ,sell,market,new,1,gtc,0.0,1,stock,,,
2022-06-14 09:30:00-04:00,MovingAverageCrossover,16e88e7da950424eacd90e3c2efde544,TQQQ,sell,market,fill,1,gtc,0.0,1,stock,23.639999389648438,3132.0,0.0
2022-07-11 09:30:00-04:00,MovingAverageCrossover,c1344466a82440fcb80877a116092a14,TQQQ,buy,market,new,1,gtc,0.0,1,stock,,,
2022-07-11 09:30:00-04:00,MovingAverageCrossover,c1344466a82440fcb80877a116092a14,TQQQ,buy,market,fill,1,gtc,0.0,1,stock,27.200000762939453,2723.0,0.0
2022-08-24 09:30:00-04:00,MovingAverageCrossover,59f314ff43cf49acb65da8fbc8628d87,TQQQ,sell,market,new,1,gtc,0.0,1,stock,,,
2022-08-24 09:30:00-04:00,MovingAverageCrossover,59f314ff43cf49acb65da8fbc8628d87,TQQQ,sell,market,fill,1,gtc,0.0,1,stock,32.29999923706055,2723.0,0.0
2022-10-26 09:30:00-04:00,MovingAverageCrossover,262e0803165b4fdd9c1a574f6ca3e47b,TQQQ,buy,market,new,1,gtc,0.0,1,stock,,,
2022-10-26 09:30:00-04:00,MovingAverageCrossover,262e0803165b4fdd9c1a574f6ca3e47b,TQQQ,buy,market,fill,1,gtc,0.0,1,stock,21.18000030517578,4152.0,0.0
2022-11-07 09:30:00-05:00,MovingAverageCrossover,ce3e5d0e6f904eabba2489df00837056,TQQQ,sell,market,new,1,gtc,0.0,1,stock,,,
2022-11-07 09:30:00-05:00,MovingAverageCrossover,ce3e5d0e6f904eabba2489df00837056,TQQQ,sell,market,fill,1,gtc,0.0,1,stock,18.15999984741211,4152.0,0.0
2022-11-15 09:30:00-05:00,MovingAverageCrossover,5230cfd7c7534e169f63bb9a60ebce18,TQQQ,buy,market,new,1,gtc,0.0,1,stock,,,
2022-11-15 09:30:00-05:00,MovingAverageCrossover,5230cfd7c7534e169f63bb9a60ebce18,TQQQ,buy,market,fill,1,gtc,0.0,1,stock,23.649999618530273,3188.0,0.0
2022-12-09 09:30:00-05:00,MovingAverageCrossover,f8ca228dcfe14702a963fa2f3e45760a,TQQQ,sell,market,new,1,gtc,0.0,1,stock,,,
2022-12-09 09:30:00-05:00,MovingAverageCrossover,f8ca228dcfe14702a963fa2f3e45760a,TQQQ,sell,market,fill,1,gtc,0.0,1,stock,21.049999237060547,3188.0,0.0
2023-01-13 09:30:00-05:00,MovingAverageCrossover,3d55fd00e37b486b8e6c87e77f2dec88,TQQQ,buy,market,new,1,gtc,0.0,1,stock,,,
