Metric,SPY,Strategy
Risk-Free Rate,5.24%,5.24%
Time in Market,69.0%,41.0%
,,
Total Return,31%,89%
CAGR% (Annual Return),9.55%,23.58%
,,
Sharpe,0.32,0.6
RoMaD,0.39,0.47
Corr to Benchmark,1.0,0.21
Prob. Sharpe Ratio,25.15%,31.47%
Smart Sharpe,0.31,0.58
Sortino,0.45,0.84
Smart Sortino,0.44,0.83
Sortino/√2,0.32,0.6
Smart Sortino/√2,0.31,0.58
Omega,1.14,1.14
,,
Max Drawdown,-24.49%,-50.5%
Longest DD Days,708,570
Volatility (ann.),17.28%,41.18%
R^2,0.04,0.04
Information Ratio,0.02,0.02
Calmar,0.39,0.47
Skew,-0.11,-0.31
Kurtosis,4.0,9.82
,,
Expected Daily%,0.02%,0.06%
Expected Monthly%,0.76%,1.78%
Expected Yearly%,7.07%,17.19%
Daily Value-at-Risk,-1.46%,-3.46%
Expected Shortfall (cVaR),-1.46%,-3.46%
,,
MTD,5.06%,8.87%
3M,4.5%,5.24%
6M,16.85%,28.32%
YTD,11.93%,17.1%
1Y,27.36%,45.97%
3Y (ann.),8.98%,17.75%
5Y (ann.),9.55%,23.58%
10Y (ann.),9.55%,23.58%
All-time (ann.),9.55%,23.58%
,,
Best Day,5.5%,13.67%
Worst Day,-4.35%,-14.12%
Best Month,9.13%,27.16%
Worst Month,-9.24%,-25.94%
Best Year,26.03%,113.27%
Worst Year,-18.51%,-43.98%
,,
Avg. Drawdown,-1.81%,-10.01%
Avg. Drawdown Days,26,57
Recovery Factor,1.3,1.76
Ulcer Index,0.1,0.24
Serenity Index,0.12,0.17
,,
Avg. Up Month,4.62%,12.74%
Avg. Down Month,-4.73%,-10.76%
Win Days,574.4,599.76
Loss Days,520.6,495.24
Win Days%,52.46%,54.77%
Win Month%,58.33%,59.38%
Win Quarter%,69.23%,69.23%
Win Year%,75.0%,75.0%
,,
Beta,-,0.49
Alpha,-,0.25
Correlation,-,20.51%
Treynor Ratio,-,170.59%
