time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2021-06-01 09:30:00-04:00,MovingAverageCrossover,b6333d79ef9244a7b2a25c79bcbc6672,TQQQ,buy,market,new,1,gtc,0.0,1,stock,,,
2021-06-01 09:30:00-04:00,MovingAverageCrossover,b6333d79ef9244a7b2a25c79bcbc6672,TQQQ,buy,market,fill,1,gtc,0.0,1,stock,51.92499923706055,1925.0,0.0
2021-08-19 09:30:00-04:00,MovingAverageCrossover,756766441cfd4be0addaf0e3ebc0e8d4,TQQQ,sell,market,new,1,gtc,0.0,1,stock,,,
2021-08-19 09:30:00-04:00,MovingAverageCrossover,756766441cfd4be0addaf0e3ebc0e8d4,TQQQ,sell,market,fill,1,gtc,0.0,1,stock,63.869998931884766,1925.0,0.0
2021-08-25 09:30:00-04:00,MovingAverageCrossover,a686c991d3c044e5b7ca79cd8f5237d2,TQQQ,buy,market,new,1,gtc,0.0,1,stock,,,
2021-08-25 09:30:00-04:00,MovingAverageCrossover,a686c991d3c044e5b7ca79cd8f5237d2,TQQQ,buy,market,fill,1,gtc,0.0,1,stock,71.74500274658203,1714.0,0.0
2021-09-20 09:30:00-04:00,MovingAverageCrossover,2a49ae3f8ebb46a38122014c696ea46f,TQQQ,sell,market,new,1,gtc,0.0,1,stock,,,
2021-09-20 09:30:00-04:00,MovingAverageCrossover,2a49ae3f8ebb46a38122014c696ea46f,TQQQ,sell,market,fill,1,gtc,0.0,1,stock,67.70999908447266,1714.0,0.0
2021-10-19 09:30:00-04:00,MovingAverageCrossover,3f9dc6e87c6a45189609c07d20d79441,TQQQ,buy,market,new,1,gtc,0.0,1,stock,,,
2021-10-19 09:30:00-04:00,MovingAverageCrossover,3f9dc6e87c6a45189609c07d20d79441,TQQQ,buy,market,fill,1,gtc,0.0,1,stock,70.5199966430664,1646.0,0.0
2021-12-01 09:30:00-05:00,MovingAverageCrossover,e122ac7efa77483d8dbe5353269bbfa4,TQQQ,sell,market,new,1,gtc,0.0,1,stock,,,
2021-12-01 09:30:00-05:00,MovingAverageCrossover,e122ac7efa77483d8dbe5353269bbfa4,TQQQ,sell,market,fill,1,gtc,0.0,1,stock,84.43000030517578,1646.0,0.0
2021-12-14 09:30:00-05:00,MovingAverageCrossover,12505ab2a9a6475989c5f0cc36c1637c,TQQQ,buy,market,new,1,gtc,0.0,1,stock,,,
