Metric,SPY,Strategy
Risk-Free Rate,5.24%,5.24%
Time in Market,69.0%,46.0%
,,
Total Return,31%,57%
CAGR% (Annual Return),9.54%,16.22%
,,
Sharpe,0.32,0.72
RoMaD,0.39,0.76
Corr to Benchmark,1.0,0.17
Prob. Sharpe Ratio,25.1%,53.66%
Smart Sharpe,0.29,0.67
Sortino,0.45,1.03
Smart Sortino,0.42,0.95
Sortino/√2,0.32,0.73
Smart Sortino/√2,0.3,0.67
Omega,1.16,1.16
,,
Max Drawdown,-24.49%,-21.37%
Longest DD Days,708,551
Volatility (ann.),17.27%,15.34%
R^2,0.03,0.03
Information Ratio,0.01,0.01
Calmar,0.39,0.76
Skew,-0.11,-0.23
Kurtosis,4.01,13.09
,,
Expected Daily%,0.02%,0.04%
Expected Monthly%,0.74%,1.23%
Expected Yearly%,7.07%,11.93%
Daily Value-at-Risk,-1.46%,-1.28%
Expected Shortfall (cVaR),-1.46%,-1.28%
,,
MTD,0.0%,0.0%
3M,4.12%,3.09%
6M,16.39%,15.79%
YTD,11.93%,11.3%
1Y,28.07%,29.64%
3Y (ann.),8.95%,14.45%
5Y (ann.),9.54%,16.22%
10Y (ann.),9.54%,16.22%
All-time (ann.),9.54%,16.22%
,,
Best Day,5.5%,7.04%
Worst Day,-4.35%,-6.58%
Best Month,9.13%,11.68%
Worst Month,-9.24%,-11.62%
Best Year,25.5%,37.82%
Worst Year,-18.16%,-14.15%
,,
Avg. Drawdown,-1.81%,-2.54%
Avg. Drawdown Days,26,29
Recovery Factor,1.3,2.28
Ulcer Index,0.1,0.1
Serenity Index,0.12,0.19
,,
Avg. Up Month,3.97%,4.56%
Avg. Down Month,-3.61%,-4.59%
Win Days,574.93,615.53
Loss Days,521.07,480.47
Win Days%,52.46%,56.16%
Win Month%,61.11%,72.0%
Win Quarter%,69.23%,80.0%
Win Year%,75.0%,75.0%
,,
Beta,-,0.15
Alpha,-,0.15
Correlation,-,16.93%
Treynor Ratio,-,343.85%
