Metric,SPY,Strategy
Risk-Free Rate,5.24%,5.24%
Time in Market,69.0%,29.0%
,,
Total Return,26%,8%
CAGR% (Annual Return),9.08%,2.76%
,,
Sharpe,0.29,-0.04
RoMaD,0.37,0.1
Corr to Benchmark,1.0,0.24
Prob. Sharpe Ratio,24.15%,10.57%
Smart Sharpe,0.26,-0.03
Sortino,0.41,-0.05
Smart Sortino,0.37,-0.05
Sortino/√2,0.29,-0.04
Smart Sortino/√2,0.26,-0.03
Omega,0.99,0.99
,,
Max Drawdown,-24.49%,-27.11%
Longest DD Days,708,912
Volatility (ann.),17.93%,18.33%
R^2,0.06,0.06
Information Ratio,-0.01,-0.01
Calmar,0.37,0.1
Skew,-0.11,-0.07
Kurtosis,3.67,11.74
,,
Expected Daily%,0.02%,0.01%
Expected Monthly%,0.69%,0.22%
Expected Yearly%,6.03%,1.85%
Daily Value-at-Risk,-1.52%,-1.57%
Expected Shortfall (cVaR),-1.52%,-1.57%
,,
MTD,0.0%,0.0%
3M,4.12%,6.04%
6M,16.39%,6.04%
YTD,11.93%,6.04%
1Y,28.07%,20.8%
3Y (ann.),9.08%,2.76%
5Y (ann.),9.08%,2.76%
10Y (ann.),9.08%,2.76%
All-time (ann.),9.08%,2.76%
,,
Best Day,5.5%,7.04%
Worst Day,-4.35%,-6.58%
Best Month,9.13%,10.88%
Worst Month,-9.24%,-10.84%
Best Year,25.5%,24.15%
Worst Year,-18.16%,-20.0%
,,
Avg. Drawdown,-2.18%,-6.21%
Avg. Drawdown Days,35,158
Recovery Factor,1.13,0.44
Ulcer Index,0.11,0.11
Serenity Index,0.1,0.03
,,
Avg. Up Month,6.75%,5.21%
Avg. Down Month,-5.43%,-4.55%
Win Days,511.68,495.57
Loss Days,472.32,488.43
Win Days%,52.0%,50.36%
Win Month%,57.58%,55.0%
Win Quarter%,58.33%,60.0%
Win Year%,75.0%,75.0%
,,
Beta,-,0.25
Alpha,-,0.02
Correlation,-,24.0%
Treynor Ratio,-,9.66%
