time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2021-09-21 09:30:00-04:00,RSI,5d0693903e2e439bba37d20ca8ac4b9d,QQQ,buy,market,new,1,gtc,0.0,1,stock,,,
2021-09-21 09:30:00-04:00,RSI,5d0693903e2e439bba37d20ca8ac4b9d,QQQ,buy,market,fill,1,gtc,0.0,1,stock,367.5799865722656,272.0,0.0
2021-10-25 09:30:00-04:00,RSI,85e1b4a729ec49448ebf7ea03d4eb51a,QQQ,sell,market,new,1,gtc,0.0,1,stock,,,
2021-10-25 09:30:00-04:00,RSI,85e1b4a729ec49448ebf7ea03d4eb51a,QQQ,sell,market,fill,1,gtc,0.0,1,stock,375.55999755859375,272.0,0.0
2022-01-18 09:30:00-05:00,RSI,f6ceefbbf3694f0781e2cea54a0f8ebe,QQQ,buy,market,new,1,gtc,0.0,1,stock,,,
2022-01-18 09:30:00-05:00,RSI,f6ceefbbf3694f0781e2cea54a0f8ebe,QQQ,buy,market,fill,1,gtc,0.0,1,stock,374.0400085449219,273.0,0.0
2022-03-28 09:30:00-04:00,RSI,6918c19b5171492bb5ea8b1c9a8d6efb,QQQ,sell,market,new,1,gtc,0.0,1,stock,,,
2022-03-28 09:30:00-04:00,RSI,6918c19b5171492bb5ea8b1c9a8d6efb,QQQ,sell,market,fill,1,gtc,0.0,1,stock,359.3399963378906,273.0,0.0
2022-04-25 09:30:00-04:00,RSI,3e5090f6c1d54985aaedcc51cfed0935,QQQ,buy,market,new,1,gtc,0.0,1,stock,,,
2022-04-25 09:30:00-04:00,RSI,3e5090f6c1d54985aaedcc51cfed0935,QQQ,buy,market,fill,1,gtc,0.0,1,stock,323.7300109863281,303.0,0.0
2022-07-11 09:30:00-04:00,RSI,c2e3a72018ff4cdc97eafd806e0f27d8,QQQ,sell,market,new,1,gtc,0.0,1,stock,,,
2022-07-11 09:30:00-04:00,RSI,c2e3a72018ff4cdc97eafd806e0f27d8,QQQ,sell,market,fill,1,gtc,0.0,1,stock,292.8800048828125,303.0,0.0
2022-08-31 09:30:00-04:00,RSI,1c77a0f4971444849e86c4dea1b2421e,QQQ,buy,market,new,1,gtc,0.0,1,stock,,,
2022-08-31 09:30:00-04:00,RSI,1c77a0f4971444849e86c4dea1b2421e,QQQ,buy,market,fill,1,gtc,0.0,1,stock,303.989990234375,292.0,0.0
2022-11-25 09:30:00-05:00,RSI,cbd8bd2165284684909df7bacaaf5e1c,QQQ,sell,market,new,1,gtc,0.0,1,stock,,,
2022-11-25 09:30:00-05:00,RSI,cbd8bd2165284684909df7bacaaf5e1c,QQQ,sell,market,fill,1,gtc,0.0,1,stock,287.19000244140625,292.0,0.0
2022-12-21 09:30:00-05:00,RSI,38e4e40fc7ed426ab59a8b93757f2165,QQQ,buy,market,new,1,gtc,0.0,1,stock,,,
2022-12-21 09:30:00-05:00,RSI,38e4e40fc7ed426ab59a8b93757f2165,QQQ,buy,market,fill,1,gtc,0.0,1,stock,270.6000061035156,310.0,0.0
2023-01-24 09:30:00-05:00,RSI,f725299669de4390bcff63153afe2075,QQQ,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-24 09:30:00-05:00,RSI,f725299669de4390bcff63153afe2075,QQQ,sell,market,fill,1,gtc,0.0,1,stock,287.30999755859375,310.0,0.0
2023-08-18 09:30:00-04:00,RSI,e65c78bd08904a0ca28d386b175d243e,QQQ,buy,market,new,1,gtc,0.0,1,stock,,,
2023-08-18 09:30:00-04:00,RSI,e65c78bd08904a0ca28d386b175d243e,QQQ,buy,market,fill,1,gtc,0.0,1,stock,355.260009765625,250.0,0.0
2023-09-15 09:30:00-04:00,RSI,2e7231b099aa4cbcb2331ed88c0a7ecc,QQQ,sell,market,new,1,gtc,0.0,1,stock,,,
2023-09-15 09:30:00-04:00,RSI,2e7231b099aa4cbcb2331ed88c0a7ecc,QQQ,sell,market,fill,1,gtc,0.0,1,stock,375.9100036621094,250.0,0.0
2023-09-22 09:30:00-04:00,RSI,34c36c56745048379792a609dc2eccd4,QQQ,buy,market,new,1,gtc,0.0,1,stock,,,
2023-09-22 09:30:00-04:00,RSI,34c36c56745048379792a609dc2eccd4,QQQ,buy,market,fill,1,gtc,0.0,1,stock,359.6300048828125,262.0,0.0
2023-11-15 09:30:00-05:00,RSI,d3defef7d4b94e609a0344a350a56f16,QQQ,sell,market,new,1,gtc,0.0,1,stock,,,
2023-11-15 09:30:00-05:00,RSI,d3defef7d4b94e609a0344a350a56f16,QQQ,sell,market,fill,1,gtc,0.0,1,stock,387.25,262.0,0.0
2024-04-22 09:30:00-04:00,RSI,78dbe4bc14b3488b846cfc0266eb3e24,QQQ,buy,market,new,1,gtc,0.0,1,stock,,,
2024-04-22 09:30:00-04:00,RSI,78dbe4bc14b3488b846cfc0266eb3e24,QQQ,buy,market,fill,1,gtc,0.0,1,stock,417.30999755859375,243.0,0.0
2024-05-10 09:30:00-04:00,RSI,142eb28044924e868e6a3455c93bab84,QQQ,sell,market,new,1,gtc,0.0,1,stock,,,
2024-05-10 09:30:00-04:00,RSI,142eb28044924e868e6a3455c93bab84,QQQ,sell,market,fill,1,gtc,0.0,1,stock,442.5400085449219,243.0,0.0
